FullName,Winery,WineName,Year,Region,RegionalVariety,VintageRating,VintageRatingCount,VintagePrice,VintageRatingPriceRatio,Age
Claude Riffault Les Chasseignes Sancerre Blanc 2018,Claude Riffault,Les Chasseignes Sancerre Blanc,2018,Upper Loire Valley,White,4.4,34,22.22,0.198019802,3
Domaine Gérard Thomas Saint-Aubin 'Champ Tirant' 2015,Domaine Gérard Thomas,Saint-Aubin 'Champ Tirant',2015,Burgundy,Côte de Beaune White,4.3,43,21.95,0.195899772,6
Argyros Cuvée Monsignori 2017,Argyros,Cuvée Monsignori,2017,Greek Santorini,White,4.3,248,25.95,0.165703276,4
Tramin Stoan 2017,Tramin,Stoan,2017,Northern Italy,White,4.3,223,21.54,0.199628598,4
Newton Johnson Family Vineyards Chardonnay 2016,Newton Johnson,Family Vineyards Chardonnay,2016,South African,Chardonnay,4.3,162,25.5,0.168627451,5
Planeta Cometa Sicilia 2018,Planeta,Cometa Sicilia,2018,Southern Italy,White,4.3,141,25.98,0.165511932,3
Lismore Sauvignon Blanc 2017,Lismore,Sauvignon Blanc,2017,South African,Sauvignon Blanc,4.3,97,20.28,0.212031558,4
Jean-Baptiste Ponsot Rully 1er Cru 'Montpalais' 2017,Jean-Baptiste Ponsot,Rully 1er Cru 'Montpalais',2017,Burgundy,Côte Chalonnaise White,4.3,63,29.49,0.14581214,4
Tramin Nussbaumer Gewürztraminer 2017,Tramin,Nussbaumer Gewürztraminer,2017,Northern Italy,Gewürztraminer,4.3,516,24.1,0.178423237,4
Domaine François Raquillet Mercurey La Brigadière Blanc 2017,Domaine François Raquillet,Mercurey La Brigadière Blanc,2017,Burgundy,Côte Chalonnaise White,4.3,51,26.49,0.162325406,4
Journey's End Destination Chardonnay 2017,Journey's End,Destination Chardonnay,2017,South African,Chardonnay,4.3,44,20.5,0.209756098,4
Domaine de Bel Air Pouilly-Fumé 2017,Domaine de Bel Air,Pouilly-Fumé,2017,Upper Loire Valley,White,4.3,61,28.17,0.152644657,4
Planeta Chardonnay 2017,Planeta,Chardonnay,2017,Southern Italy,White,4.2,1936,27.29,0.153902528,4
Cà dei Frati Brolettino Lugana 2017,Cà dei Frati,Brolettino Lugana,2017,Northern Italy,White,4.2,1314,26,0.161538462,4
Soalheiro Primeiras Vinhas Alvarinho 2018,Soalheiro,Primeiras Vinhas Alvarinho,2018,Portuguese,Vinho Verde White,4.2,651,24.49,0.171498571,3
Planeta Cometa Sicilia 2017,Planeta,Cometa Sicilia,2017,Southern Italy,White,4.2,616,27.3,0.153846154,4
Cà dei Frati Pratto Bianco (Pratto Benaco Bresciano) 2016,Cà dei Frati,Pratto Bianco (Pratto Benaco Bresciano),2016,Northern Italy,White,4.2,553,26,0.161538462,5
Meerlust Chardonnay 2017,Meerlust,Chardonnay,2017,South African,Chardonnay,4.2,528,23.99,0.175072947,4
Planeta Chardonnay 2018,Planeta,Chardonnay,2018,Southern Italy,White,4.2,454,28.72,0.146239554,3
Ottella Le Creete 2018,Ottella,Le Creete,2018,Northern Italy,White,4.2,447,23.92,0.175585284,3
R. López de Heredia Viña Tondonia Viña Gravonia 2008,R. López de Heredia Viña Tondonia,Viña Gravonia,2008,Spanish,Rioja White,4.2,429,29.2,0.143835616,13
Catena Alta Chardonnay 2017,Catena Alta,Chardonnay,2017,Argentinian,Chardonnay,4.2,356,20.99,0.200095283,4
Szepsy Tokaji Furmint 2015,Szepsy,Tokaji Furmint,2015,,,4.2,331,27.5,0.152727273,6
Domaine Michel Viré-Clessé 2016,Domaine Michel,Viré-Clessé,2016,Burgundy,Macônnais White,4.2,320,20.42,0.205680705,5
Ktima Biblia Chora (Κτημα Βιβλια Χωρα) Ovilos White 2018,Ktima Biblia Chora (Κτημα Βιβλια Χωρα),Ovilos White,2018,,,4.2,310,26.98,0.155670867,3
Ottella Molceo Lugana Riserva 2015,Ottella,Molceo Lugana Riserva,2015,Northern Italy,White,4.2,270,25.82,0.162664601,6
DeMorgenzon Reserve Chenin Blanc 2017,DeMorgenzon,Reserve Chenin Blanc,2017,South African,Chenin Blanc,4.2,245,26.65,0.157598499,4
Hamilton Russell Vineyards Chardonnay 2018,Hamilton Russell Vineyards,Chardonnay,2018,South African,Chardonnay,4.2,224,27.15,0.154696133,3
Domaines Ott Clos Mireille Blanc de Blancs 2017,Domaines Ott,Clos Mireille Blanc de Blancs,2017,,,4.2,196,26.69,0.157362308,4
Domaine Eleni et Edouard Vocoret Le Bas de Chapelot Chablis 2016,Domaine Eleni et Edouard Vocoret,Le Bas de Chapelot Chablis,2016,Burgundy,Chablis,4.2,188,29.75,0.141176471,5
Quinta dos Carvalhais Dão Reserva Branco 2013,Quinta dos Carvalhais,Dão Reserva Branco,2013,Northern Portugal,White,4.2,180,24.95,0.168336673,8
Faiveley Mercurey Clos Rochette 2017,Faiveley,Mercurey Clos Rochette,2017,Burgundy,Côte Chalonnaise White,4.2,172,28,0.15,4
Denis Race Montmains Chablis 1er Cru 2017,Denis Race,Montmains Chablis 1er Cru,2017,Burgundy,Chablis,4.2,159,26.83,0.156541185,4
Cenatiempo Kalimera 2017,Cenatiempo,Kalimera,2017,Southern Italy,White,4.2,157,26.5,0.158490566,4
Telmo Rodriguez MR (Mountain Wine) 2015,Telmo Rodriguez,MR (Mountain Wine),2015,,,4.2,150,22,0.190909091,6
Kleine Zalze Family Reserve Chenin Blanc 2015,Kleine Zalze,Family Reserve Chenin Blanc,2015,South African,Chenin Blanc,4.2,144,24.99,0.168067227,6
Alain Gueneau La Guiberte Sancerre 2017,Alain Gueneau,La Guiberte Sancerre,2017,Upper Loire Valley,White,4.2,143,28.99,0.144877544,4
Gérard Bertrand Domaine de L'Aigle Chardonnay Limoux 2018,Gérard Bertrand,Domaine de L'Aigle Chardonnay Limoux,2018,Languedoc-Roussillon,White,4.2,118,21.52,0.195167286,3
Bouchard Finlayson Missionvale Chardonnay 2016,Bouchard Finlayson,Missionvale Chardonnay,2016,South African,Chardonnay,4.2,113,22.5,0.186666667,5
Terra d'Alter Telhas Alentejano Branco 2014,Terra d'Alter,Telhas Alentejano Branco,2014,Southern Portugal,White,4.2,107,25,0.168,7
Jean-Paul Balland Sancerre Blanc Grande Cuvée 2016,Jean-Paul Balland,Sancerre Blanc Grande Cuvée,2016,Upper Loire Valley,White,4.2,105,25.6,0.1640625,5
La Stoppa Ageno 2015,La Stoppa,Ageno,2015,Northern Italy,White,4.2,104,28,0.15,6
