FullName,Winery,WineName,Year,Region,RegionalVariety,WineRating,WineRatingCount,WinePrice,WineRatingPriceRatio
Domaine Zind Humbrecht Riesling Alsace Grand Cru Brand 2016,Domaine Zind Humbrecht,Riesling Alsace Grand Cru Brand,2016,Alsace,Riesling,4.3,2149,37.5,0.114666667
Louis Jadot - Domaine Duc de Magenta Chassagne-Montrachet 1er Cru Morgeot Monopole Clos de La Chapelle Blanc 2013,Louis Jadot - Domaine Duc de Magenta,Chassagne-Montrachet 1er Cru Morgeot Monopole Clos de La Chapelle Blanc,2013,Burgundy,Côte de Beaune White,4.3,1243,33.52,0.128281623
Ossian Capitel 2015,Ossian,Capitel,2015,Spanish,Verdejo,4.3,696,38.86,0.110653628
HDV Chardonnay (Hyde Vineyard) 2013,HDV,Chardonnay (Hyde Vineyard),2013,Napa Valley,Chardonnay,4.3,1499,46.38,0.092712376
Marcel Deiss Riesling Alsace Grand Cru 'Altenberg de Bergheim' 2012,Marcel Deiss,Riesling Alsace Grand Cru 'Altenberg de Bergheim',2012,Alsace,Riesling,4.4,1417,49.57,0.088763365
Capensis Chardonnay 2015,Capensis,Chardonnay,2015,South African,Chardonnay,4.4,522,45.42,0.096873624
Tolpuddle Chardonnay 2016,Tolpuddle,Chardonnay,2016,Australian,Chardonnay,4.2,787,42,0.1
Quinta dos Carvalhais Dão Branco Especial 2017,Quinta dos Carvalhais,Dão Branco Especial,2017,Northern Portugal,White,4.4,904,33.04,0.133171913
Matrot Les Chalumeaux Puligny-Montrachet 1er Cru 2015,Matrot,Les Chalumeaux Puligny-Montrachet 1er Cru,2015,Burgundy,Côte de Beaune White,4.2,559,50,0.084
Amiot Guy Chassagne-Montrachet 1er Cru 'Les Vergers' 2013,Amiot Guy,Chassagne-Montrachet 1er Cru 'Les Vergers',2013,Burgundy,Côte de Beaune White,4.3,510,49.99,0.086017203
Christian Moreau Pere & Fils Chablis Grand Cru 'Les Clos' 2016,Christian Moreau Pere & Fils,Chablis Grand Cru 'Les Clos',2016,Burgundy,Chablis,4.3,1677,49.99,0.086017203
Domaine Jaeger-Defaix Les Cloux Rully  Premier Cru 2015,Domaine Jaeger-Defaix,Les Cloux Rully  Premier Cru,2015,Burgundy,Côte Chalonnaise White,4.1,321,37.19,0.110244689
Quinta dos Abibes Sublime Branco 2012,Quinta dos Abibes,Sublime Branco,2012,Northern Portugal,White,4.4,256,36.21,0.121513394
Antinori Castello della Sala Cervaro della Sala 2018,Antinori,Castello della Sala Cervaro della Sala,2018,Central Italy,White,4.4,17469,37.81,0.11637133
Domaine Alain Chavy Puligny-Montrachet 1er Cru 'Les Folatières' 2016,Domaine Alain Chavy,Puligny-Montrachet 1er Cru 'Les Folatières',2016,Burgundy,Côte de Beaune White,4.3,584,48.28,0.089063795
Sadie Family Kokerboom (Die Ouwingerdreeks) 2016,Sadie Family,Kokerboom (Die Ouwingerdreeks),2016,,,4.3,307,40.5,0.10617284
Philippe Colin Chassagne-Montrachet Premier Cru 'Les Chaumees' 2014,Philippe Colin,Chassagne-Montrachet Premier Cru 'Les Chaumees',2014,Burgundy,Côte de Beaune White,4.3,540,49.48,0.0869038
Bonnardot Chassagne-Montrachet 2015,Bonnardot,Chassagne-Montrachet,2015,Burgundy,Côte de Beaune White,4.2,134,31.84,0.131909548
Paul Pillot Les Mazures Chassagne-Montrachet 2015,Paul Pillot,Les Mazures Chassagne-Montrachet,2015,Burgundy,Côte de Beaune White,4.2,308,37.18,0.112963959
François Mikulski Meursault 2017,François Mikulski,Meursault,2017,Burgundy,Côte de Beaune White,4.1,1465,49.57,0.082711317
Thomas Morey Chassagne-Montrachet 1er Cru 'Les Chenevottes' 2014,Thomas Morey,Chassagne-Montrachet 1er Cru 'Les Chenevottes',2014,Burgundy,Côte de Beaune White,4.3,196,47.5,0.090526316
Mullineux Leeu Passant Chardonnay 2016,Mullineux,Leeu Passant Chardonnay,2016,South African,Chardonnay,4.4,148,36.08,0.12195122
Morlet Family Vineyards La Proportion Dorée 2012,Morlet Family Vineyards,La Proportion Dorée,2012,,,4.4,348,50,0.088
